"beta0","beta1","loglikelihood"
55.6,1.72,-146.119019351938
55.7,1.72,-145.976100761925
55.8,1.72,-145.83328708169
55.9,1.72,-145.690578311233
56,1.72,-145.547974450553
56.1,1.72,-145.405475499651
56.2,1.72,-145.263081458526
56.3,1.72,-145.120792327179
56.4,1.72,-144.97860810561
56.5,1.72,-144.836528793818
56.6,1.72,-144.694554391804
56.7,1.72,-144.552684899567
56.8,1.72,-144.410920317108
56.9,1.72,-144.269260644427
57,1.72,-144.127705881523
57.1,1.72,-143.986256028396
57.2,1.72,-143.844911085048
57.3,1.72,-143.703671051476
57.4,1.72,-143.562535927683
57.5,1.72,-143.421505713667
57.6,1.72,-143.280580409429
57.7,1.72,-143.139760014968
57.8,1.72,-142.999044530285
57.9,1.72,-142.858433955379
58,1.72,-142.717928290251
58.1,1.72,-142.577527534901
58.2,1.72,-142.437231689328
58.3,1.72,-142.297040753533
58.4,1.72,-142.156954727515
58.5,1.72,-142.016973611275
58.6,1.72,-141.877097404813
58.7,1.72,-141.737326108128
58.8,1.72,-141.59765972122
58.9,1.72,-141.458098244091
59,1.72,-141.318641676739
59.1,1.72,-141.179290019164
59.2,1.72,-141.040043271367
59.3,1.72,-140.900901433348
59.4,1.72,-140.761864505106
59.5,1.72,-140.622932486642
59.6,1.72,-140.484105377956
59.7,1.72,-140.345383179047
59.8,1.72,-140.206765889915
59.9,1.72,-140.068253510562
60,1.72,-139.929846040985
60.1,1.72,-139.791543481187
60.2,1.72,-139.653345831166
60.3,1.72,-139.515253090923
60.4,1.72,-139.377265260457
60.5,1.72,-139.239382339769
60.6,1.72,-139.101604328858
60.7,1.72,-138.963931227725
60.8,1.72,-138.826363036369
60.9,1.72,-138.688899754792
61,1.72,-138.551541382991
61.1,1.72,-138.414287920969
61.2,1.72,-138.277139368724
61.3,1.72,-138.140095726256
61.4,1.72,-138.003156993566
61.5,1.72,-137.866323170654
61.6,1.72,-137.729594257519
61.7,1.72,-137.592970254162
61.8,1.72,-137.456451160583
61.9,1.72,-137.320036976781
62,1.72,-137.183727702756
62.1,1.72,-137.04752333851
62.2,1.72,-136.91142388404
62.3,1.72,-136.775429339349
62.4,1.72,-136.639539704435
62.5,1.72,-136.503754979299
62.6,1.72,-136.36807516394
62.7,1.72,-136.232500258359
62.8,1.72,-136.097030262555
62.9,1.72,-135.961665176529
63,1.72,-135.82640500028
63.1,1.72,-135.69124973381
63.2,1.72,-135.556199377116
63.3,1.72,-135.421253930201
63.4,1.72,-135.286413393063
63.5,1.72,-135.151677765702
63.6,1.72,-135.017047048119
63.7,1.72,-134.882521240314
63.8,1.72,-134.748100342286
63.9,1.72,-134.613784354036
64,1.72,-134.479573275564
64.1,1.72,-134.345467106869
64.2,1.72,-134.211465847951
64.3,1.72,-134.077569498812
64.4,1.72,-133.94377805945
64.5,1.72,-133.810091529865
64.6,1.72,-133.676509910058
64.7,1.72,-133.543033200029
64.8,1.72,-133.409661399777
64.9,1.72,-133.276394509303
65,1.72,-133.143232528606
65.1,1.72,-133.010175457687
65.2,1.72,-132.877223296546
65.3,1.72,-132.744376045182
65.4,1.72,-132.611633703596
65.5,1.72,-132.478996271787
65.6,1.72,-132.346463749756
65.7,1.72,-132.214036137502
65.8,1.72,-132.081713435027
65.9,1.72,-131.949495642328
66,1.72,-131.817382759408
66.1,1.72,-131.685374786265
66.2,1.72,-131.553471722899
66.3,1.72,-131.421673569311
66.4,1.72,-131.289980325501
66.5,1.72,-131.158391991468
66.6,1.72,-131.026908567213
66.7,1.72,-130.895530052735
66.8,1.72,-130.764256448035
66.9,1.72,-130.633087753113
67,1.72,-130.502023967968
67.1,1.72,-130.371065092601
67.2,1.72,-130.240211127011
67.3,1.72,-130.109462071199
67.4,1.72,-129.978817925165
67.5,1.72,-129.848278688908
67.6,1.72,-129.717844362429
67.7,1.72,-129.587514945727
67.8,1.72,-129.457290438803
67.9,1.72,-129.327170841657
68,1.72,-129.197156154288
68.1,1.72,-129.067246376697
68.2,1.72,-128.937441508883
68.3,1.72,-128.807741550847
68.4,1.72,-128.678146502589
68.5,1.72,-128.548656364108
68.6,1.72,-128.419271135404
68.7,1.72,-128.289990816479
68.8,1.72,-128.16081540733
68.9,1.72,-128.03174490796
69,1.72,-127.902779318367
69.1,1.72,-127.773918638552
69.2,1.72,-127.645162868514
69.3,1.72,-127.516512008254
69.4,1.72,-127.387966057771
69.5,1.72,-127.259525017066
69.6,1.72,-127.131188886139
69.7,1.72,-127.002957664989
69.8,1.72,-126.874831353617
69.9,1.72,-126.746809952022
70,1.72,-126.618893460205
70.1,1.72,-126.491081878166
70.2,1.72,-126.363375205904
70.3,1.72,-126.235773443419
70.4,1.72,-126.108276590713
70.5,1.72,-125.980884647784
70.6,1.72,-125.853597614632
70.7,1.72,-125.726415491258
70.8,1.72,-125.599338277662
70.9,1.72,-125.472365973843
71,1.72,-125.345498579802
71.1,1.72,-125.218736095539
71.2,1.72,-125.092078521053
71.3,1.72,-124.965525856344
71.4,1.72,-124.839078101413
71.5,1.72,-124.71273525626
71.6,1.72,-124.586497320885
71.7,1.72,-124.460364295287
71.8,1.72,-124.334336179466
71.9,1.72,-124.208412973424
72,1.72,-124.082594677158
72.1,1.72,-123.956881290671
72.2,1.72,-123.831272813961
72.3,1.72,-123.705769247028
72.4,1.72,-123.580370589873
72.5,1.72,-123.455076842496
72.6,1.72,-123.329888004897
72.7,1.72,-123.204804077074
72.8,1.72,-123.07982505903
72.9,1.72,-122.954950950763
73,1.72,-122.830181752274
73.1,1.72,-122.705517463562
73.2,1.72,-122.580958084628
73.3,1.72,-122.456503615471
73.4,1.72,-122.332154056092
73.5,1.72,-122.207909406491
73.6,1.72,-122.083769666667
73.7,1.72,-121.959734836621
73.8,1.72,-121.835804916353
73.9,1.72,-121.711979905862
74,1.72,-121.588259805148
74.1,1.72,-121.464644614213
74.2,1.72,-121.341134333054
74.3,1.72,-121.217728961674
74.4,1.72,-121.094428500071
74.5,1.72,-120.971232948245
74.6,1.72,-120.848142306197
74.7,1.72,-120.725156573927
74.8,1.72,-120.602275751434
74.9,1.72,-120.479499838719
75,1.72,-120.356828835782
50,1.73,-153.097229591132
50.1,1.73,-152.949170422018
50.2,1.73,-152.801216162681
50.3,1.73,-152.653366813121
50.4,1.73,-152.50562237334
50.5,1.73,-152.357982843335
50.6,1.73,-152.210448223109
50.7,1.73,-152.06301851266
50.8,1.73,-151.915693711988
50.9,1.73,-151.768473821095
51,1.73,-151.621358839978
51.1,1.73,-151.47434876864
51.2,1.73,-151.327443607079
51.3,1.73,-151.180643355295
51.4,1.73,-151.033948013289
51.5,1.73,-150.887357581061
51.6,1.73,-150.74087205861
51.7,1.73,-150.594491445937
51.8,1.73,-150.448215743042
51.9,1.73,-150.302044949924
52,1.73,-150.155979066583
52.1,1.73,-150.010018093021
52.2,1.73,-149.864162029236
52.3,1.73,-149.718410875228
52.4,1.73,-149.572764630998
52.5,1.73,-149.427223296546
52.6,1.73,-149.281786871871
52.7,1.73,-149.136455356974
52.8,1.73,-148.991228751854
52.9,1.73,-148.846107056512
53,1.73,-148.701090270948
53.1,1.73,-148.556178395161
53.2,1.73,-148.411371429152
53.3,1.73,-148.26666937292
53.4,1.73,-148.122072226466
53.5,1.73,-147.977579989789
53.6,1.73,-147.833192662891
53.7,1.73,-147.688910245769
53.8,1.73,-147.544732738426
53.9,1.73,-147.40066014086
54,1.73,-147.256692453071
54.1,1.73,-147.11282967506
54.2,1.73,-146.969071806827
54.3,1.73,-146.825418848371
54.4,1.73,-146.681870799693
54.5,1.73,-146.538427660792
54.6,1.73,-146.39508943167
54.7,1.73,-146.251856112324
54.8,1.73,-146.108727702756
54.9,1.73,-145.965704202966
55,1.73,-145.822785612954
55.1,1.73,-145.679971932719
55.2,1.73,-145.537263162261
55.3,1.73,-145.394659301581
55.4,1.73,-145.252160350679
55.5,1.73,-145.109766309555
55.6,1.73,-144.967477178207
55.7,1.73,-144.825292956638
55.8,1.73,-144.683213644846
55.9,1.73,-144.541239242832
56,1.73,-144.399369750595
56.1,1.73,-144.257605168136
56.2,1.73,-144.115945495455
56.3,1.73,-143.974390732551
56.4,1.73,-143.832940879424
56.5,1.73,-143.691595936076
56.6,1.73,-143.550355902505
56.7,1.73,-143.409220778711
56.8,1.73,-143.268190564695
56.9,1.73,-143.127265260457
57,1.73,-142.986444865996
57.1,1.73,-142.845729381313
57.2,1.73,-142.705118806407
57.3,1.73,-142.564613141279
57.4,1.73,-142.424212385929
57.5,1.73,-142.283916540356
57.6,1.73,-142.143725604561
57.7,1.73,-142.003639578543
57.8,1.73,-141.863658462303
57.9,1.73,-141.723782255841
58,1.73,-141.584010959156
58.1,1.73,-141.444344572249
58.2,1.73,-141.304783095119
58.3,1.73,-141.165326527767
58.4,1.73,-141.025974870192
58.5,1.73,-140.886728122395
58.6,1.73,-140.747586284376
58.7,1.73,-140.608549356134
58.8,1.73,-140.46961733767
58.9,1.73,-140.330790228984
59,1.73,-140.192068030075
59.1,1.73,-140.053450740944
59.2,1.73,-139.91493836159
59.3,1.73,-139.776530892014
59.4,1.73,-139.638228332215
59.5,1.73,-139.500030682194
59.6,1.73,-139.361937941951
59.7,1.73,-139.223950111485
59.8,1.73,-139.086067190797
59.9,1.73,-138.948289179886
60,1.73,-138.810616078753
60.1,1.73,-138.673047887398
60.2,1.73,-138.53558460582
60.3,1.73,-138.398226234019
60.4,1.73,-138.260972771997
60.5,1.73,-138.123824219752
60.6,1.73,-137.986780577284
60.7,1.73,-137.849841844594
60.8,1.73,-137.713008021682
60.9,1.73,-137.576279108547
61,1.73,-137.43965510519
61.1,1.73,-137.303136011611
61.2,1.73,-137.166721827809
61.3,1.73,-137.030412553784
61.4,1.73,-136.894208189538
61.5,1.73,-136.758108735069
61.6,1.73,-136.622114190377
61.7,1.73,-136.486224555463
61.8,1.73,-136.350439830327
61.9,1.73,-136.214760014968
62,1.73,-136.079185109387
62.1,1.73,-135.943715113583
62.2,1.73,-135.808350027557
62.3,1.73,-135.673089851309
62.4,1.73,-135.537934584838
62.5,1.73,-135.402884228145
62.6,1.73,-135.267938781229
62.7,1.73,-135.133098244091
62.8,1.73,-134.99836261673
62.9,1.73,-134.863731899147
63,1.73,-134.729206091342
63.1,1.73,-134.594785193314
63.2,1.73,-134.460469205064
63.3,1.73,-134.326258126592
63.4,1.73,-134.192151957897
63.5,1.73,-134.05815069898
63.6,1.73,-133.92425434984
63.7,1.73,-133.790462910478
63.8,1.73,-133.656776380893
63.9,1.73,-133.523194761086
64,1.73,-133.389718051057
64.1,1.73,-133.256346250805
64.2,1.73,-133.123079360331
64.3,1.73,-132.989917379634
64.4,1.73,-132.856860308715
64.5,1.73,-132.723908147574
64.6,1.73,-132.59106089621
64.7,1.73,-132.458318554624
64.8,1.73,-132.325681122815
64.9,1.73,-132.193148600784
65,1.73,-132.060720988531
65.1,1.73,-131.928398286055
65.2,1.73,-131.796180493356
65.3,1.73,-131.664067610436
65.4,1.73,-131.532059637293
65.5,1.73,-131.400156573927
65.6,1.73,-131.268358420339
65.7,1.73,-131.136665176529
65.8,1.73,-131.005076842496
65.9,1.73,-130.873593418241
66,1.73,-130.742214903763
66.1,1.73,-130.610941299064
66.2,1.73,-130.479772604141
66.3,1.73,-130.348708818996
66.4,1.73,-130.217749943629
66.5,1.73,-130.08689597804
66.6,1.73,-129.956146922228
66.7,1.73,-129.825502776193
66.8,1.73,-129.694963539936
66.9,1.73,-129.564529213457
67,1.73,-129.434199796756
67.1,1.73,-129.303975289831
67.2,1.73,-129.173855692685
67.3,1.73,-129.043841005316
67.4,1.73,-128.913931227725
67.5,1.73,-128.784126359911
67.6,1.73,-128.654426401875
67.7,1.73,-128.524831353617
67.8,1.73,-128.395341215136
67.9,1.73,-128.265955986432
68,1.73,-128.136675667507
68.1,1.73,-128.007500258359
68.2,1.73,-127.878429758988
68.3,1.73,-127.749464169395
68.4,1.73,-127.62060348958
68.5,1.73,-127.491847719542
68.6,1.73,-127.363196859282
68.7,1.73,-127.234650908799
68.8,1.73,-127.106209868094
68.9,1.73,-126.977873737167
69,1.73,-126.849642516017
69.1,1.73,-126.721516204645
69.2,1.73,-126.59349480305
69.3,1.73,-126.465578311233
69.4,1.73,-126.337766729194
69.5,1.73,-126.210060056932
69.6,1.73,-126.082458294448
69.7,1.73,-125.954961441741
69.8,1.73,-125.827569498812
69.9,1.73,-125.70028246566
70,1.73,-125.573100342286
70.1,1.73,-125.44602312869
70.2,1.73,-125.319050824871
70.3,1.73,-125.19218343083
70.4,1.73,-125.065420946567
70.5,1.73,-124.938763372081
70.6,1.73,-124.812210707372
70.7,1.73,-124.685762952442
70.8,1.73,-124.559420107288
70.9,1.73,-124.433182171913
71,1.73,-124.307049146315
71.1,1.73,-124.181021030495
71.2,1.73,-124.055097824452
71.3,1.73,-123.929279528186
71.4,1.73,-123.803566141699
71.5,1.73,-123.677957664989
71.6,1.73,-123.552454098056
71.7,1.73,-123.427055440902
71.8,1.73,-123.301761693524
71.9,1.73,-123.176572855925
72,1.73,-123.051488928103
72.1,1.73,-122.926509910058
72.2,1.73,-122.801635801791
72.3,1.73,-122.676866603302
72.4,1.73,-122.55220231459
72.5,1.73,-122.427642935656
72.6,1.73,-122.3031884665
72.7,1.73,-122.178838907121
72.8,1.73,-122.054594257519
72.9,1.73,-121.930454517695
73,1.73,-121.806419687649
73.1,1.73,-121.682489767381
73.2,1.73,-121.55866475689
73.3,1.73,-121.434944656176
73.4,1.73,-121.311329465241
73.5,1.73,-121.187819184082
73.6,1.73,-121.064413812702
73.7,1.73,-120.941113351099
73.8,1.73,-120.817917799273
73.9,1.73,-120.694827157225
74,1.73,-120.571841424955
74.1,1.73,-120.448960602463
74.2,1.73,-120.326184689748
74.3,1.73,-120.20351368681
74.4,1.73,-120.08094759365
74.5,1.73,-119.958486410268
74.6,1.73,-119.836130136663
74.7,1.73,-119.713878772836
74.8,1.73,-119.591732318787
74.9,1.73,-119.469690774515
75,1.73,-119.34775414002
50,1.74,-151.910534249126
50.1,1.74,-151.763209448455
50.2,1.74,-151.615989557561
50.3,1.74,-151.468874576445
50.4,1.74,-151.321864505106
50.5,1.74,-151.174959343545
50.6,1.74,-151.028159091762
50.7,1.74,-150.881463749756
50.8,1.74,-150.734873317528
50.9,1.74,-150.588387795077
51,1.74,-150.442007182404
51.1,1.74,-150.295731479508
51.2,1.74,-150.14956068639
51.3,1.74,-150.00349480305
51.4,1.74,-149.857533829487
51.5,1.74,-149.711677765702
51.6,1.74,-149.565926611695
51.7,1.74,-149.420280367465
51.8,1.74,-149.274739033012
51.9,1.74,-149.129302608338
52,1.74,-148.98397109344
52.1,1.74,-148.838744488321
52.2,1.74,-148.693622792979
52.3,1.74,-148.548606007414
52.4,1.74,-148.403694131628
52.5,1.74,-148.258887165618
52.6,1.74,-148.114185109387
52.7,1.74,-147.969587962933
52.8,1.74,-147.825095726256
52.9,1.74,-147.680708399357
53,1.74,-147.536425982236
53.1,1.74,-147.392248474892
53.2,1.74,-147.248175877326
53.3,1.74,-147.104208189538
53.4,1.74,-146.960345411527
53.5,1.74,-146.816587543293
53.6,1.74,-146.672934584838
53.7,1.74,-146.52938653616
53.8,1.74,-146.385943397259
53.9,1.74,-146.242605168136
54,1.74,-146.099371848791
54.1,1.74,-145.956243439223
54.2,1.74,-145.813219939433
54.3,1.74,-145.67030134942
54.4,1.74,-145.527487669185
54.5,1.74,-145.384778898728
54.6,1.74,-145.242175038048
54.7,1.74,-145.099676087146
54.8,1.74,-144.957282046021
54.9,1.74,-144.814992914674
55,1.74,-144.672808693105
55.1,1.74,-144.530729381313
55.2,1.74,-144.388754979299
55.3,1.74,-144.246885487062
55.4,1.74,-144.105120904603
55.5,1.74,-143.963461231921
55.6,1.74,-143.821906469017
55.7,1.74,-143.680456615891
55.8,1.74,-143.539111672542
55.9,1.74,-143.397871638971
56,1.74,-143.256736515178
56.1,1.74,-143.115706301162
56.2,1.74,-142.974780996923
56.3,1.74,-142.833960602463
56.4,1.74,-142.693245117779
56.5,1.74,-142.552634542874
56.6,1.74,-142.412128877746
56.7,1.74,-142.271728122395
56.8,1.74,-142.131432276823
56.9,1.74,-141.991241341027
57,1.74,-141.85115531501
57.1,1.74,-141.71117419877
57.2,1.74,-141.571297992307
57.3,1.74,-141.431526695622
57.4,1.74,-141.291860308715
57.5,1.74,-141.152298831586
57.6,1.74,-141.012842264233
57.7,1.74,-140.873490606659
57.8,1.74,-140.734243858862
57.9,1.74,-140.595102020843
58,1.74,-140.456065092601
58.1,1.74,-140.317133074137
58.2,1.74,-140.17830596545
58.3,1.74,-140.039583766542
58.4,1.74,-139.90096647741
58.5,1.74,-139.762454098056
58.6,1.74,-139.62404662848
58.7,1.74,-139.485744068682
58.8,1.74,-139.347546418661
58.9,1.74,-139.209453678417
59,1.74,-139.071465847951
59.1,1.74,-138.933582927263
59.2,1.74,-138.795804916353
59.3,1.74,-138.65813181522
59.4,1.74,-138.520563623864
59.5,1.74,-138.383100342286
59.6,1.74,-138.245741970486
59.7,1.74,-138.108488508463
59.8,1.74,-137.971339956218
59.9,1.74,-137.834296313751
60,1.74,-137.697357581061
60.1,1.74,-137.560523758149
60.2,1.74,-137.423794845014
60.3,1.74,-137.287170841657
60.4,1.74,-137.150651748077
60.5,1.74,-137.014237564275
60.6,1.74,-136.877928290251
60.7,1.74,-136.741723926004
60.8,1.74,-136.605624471535
60.9,1.74,-136.469629926844
61,1.74,-136.33374029193
61.1,1.74,-136.197955566793
61.2,1.74,-136.062275751434
61.3,1.74,-135.926700845853
61.4,1.74,-135.79123085005
61.5,1.74,-135.655865764024
61.6,1.74,-135.520605587775
61.7,1.74,-135.385450321304
61.8,1.74,-135.250399964611
61.9,1.74,-135.115454517695
62,1.74,-134.980613980557
62.1,1.74,-134.845878353197
62.2,1.74,-134.711247635614
62.3,1.74,-134.576721827809
62.4,1.74,-134.442300929781
62.5,1.74,-134.307984941531
62.6,1.74,-134.173773863058
62.7,1.74,-134.039667694364
62.8,1.74,-133.905666435446
62.9,1.74,-133.771770086307
63,1.74,-133.637978646944
63.1,1.74,-133.50429211736
63.2,1.74,-133.370710497553
63.3,1.74,-133.237233787523
63.4,1.74,-133.103861987272
63.5,1.74,-132.970595096797
63.6,1.74,-132.837433116101
63.7,1.74,-132.704376045182
63.8,1.74,-132.57142388404
63.9,1.74,-132.438576632677
64,1.74,-132.30583429109
64.1,1.74,-132.173196859282
64.2,1.74,-132.040664337251
64.3,1.74,-131.908236724997
64.4,1.74,-131.775914022521
64.5,1.74,-131.643696229823
64.6,1.74,-131.511583346902
64.7,1.74,-131.379575373759
64.8,1.74,-131.247672310394
64.9,1.74,-131.115874156806
65,1.74,-130.984180912996
65.1,1.74,-130.852592578963
65.2,1.74,-130.721109154708
65.3,1.74,-130.58973064023
65.4,1.74,-130.45845703553
65.5,1.74,-130.327288340608
65.6,1.74,-130.196224555463
65.7,1.74,-130.065265680096
65.8,1.74,-129.934411714506
65.9,1.74,-129.803662658694
66,1.74,-129.67301851266
66.1,1.74,-129.542479276403
66.2,1.74,-129.412044949924
66.3,1.74,-129.281715533222
66.4,1.74,-129.151491026298
66.5,1.74,-129.021371429152
66.6,1.74,-128.891356741783
66.7,1.74,-128.761446964192
66.8,1.74,-128.631642096378
66.9,1.74,-128.501942138342
67,1.74,-128.372347090083
67.1,1.74,-128.242856951602
67.2,1.74,-128.113471722899
67.3,1.74,-127.984191403973
67.4,1.74,-127.855015994825
67.5,1.74,-127.725945495455
67.6,1.74,-127.596979905862
67.7,1.74,-127.468119226046
67.8,1.74,-127.339363456009
67.9,1.74,-127.210712595748
68,1.74,-127.082166645266
68.1,1.74,-126.953725604561
68.2,1.74,-126.825389473633
68.3,1.74,-126.697158252484
68.4,1.74,-126.569031941111
68.5,1.74,-126.441010539517
68.6,1.74,-126.3130940477
68.7,1.74,-126.18528246566
68.8,1.74,-126.057575793398
68.9,1.74,-125.929974030914
69,1.74,-125.802477178207
69.1,1.74,-125.675085235278
69.2,1.74,-125.547798202127
69.3,1.74,-125.420616078753
69.4,1.74,-125.293538865157
69.5,1.74,-125.166566561338
69.6,1.74,-125.039699167297
69.7,1.74,-124.912936683033
69.8,1.74,-124.786279108547
69.9,1.74,-124.659726443839
70,1.74,-124.533278688908
70.1,1.74,-124.406935843755
70.2,1.74,-124.28069790838
70.3,1.74,-124.154564882782
70.4,1.74,-124.028536766961
70.5,1.74,-123.902613560918
70.6,1.74,-123.776795264653
70.7,1.74,-123.651081878165
70.8,1.74,-123.525473401455
70.9,1.74,-123.399969834523
71,1.74,-123.274571177368
71.1,1.74,-123.149277429991
71.2,1.74,-123.024088592391
71.3,1.74,-122.899004664569
71.4,1.74,-122.774025646525
71.5,1.74,-122.649151538258
71.6,1.74,-122.524382339769
71.7,1.74,-122.399718051057
71.8,1.74,-122.275158672123
71.9,1.74,-122.150704202966
72,1.74,-122.026354643587
72.1,1.74,-121.902109993986
72.2,1.74,-121.777970254162
72.3,1.74,-121.653935424116
72.4,1.74,-121.530005503847
72.5,1.74,-121.406180493356
72.6,1.74,-121.282460392643
72.7,1.74,-121.158845201707
72.8,1.74,-121.035334920549
72.9,1.74,-120.911929549168
73,1.74,-120.788629087565
73.1,1.74,-120.66543353574
73.2,1.74,-120.542342893692
73.3,1.74,-120.419357161422
73.4,1.74,-120.296476338929
73.5,1.74,-120.173700426214
73.6,1.74,-120.051029423277
73.7,1.74,-119.928463330117
73.8,1.74,-119.806002146735
73.9,1.74,-119.68364587313
74,1.74,-119.561394509303
74.1,1.74,-119.439248055253
74.2,1.74,-119.317206510981
74.3,1.74,-119.195269876487
74.4,1.74,-119.07343815177
74.5,1.74,-118.951711336831
74.6,1.74,-118.83008943167
74.7,1.74,-118.708572436286
74.8,1.74,-118.587160350679
74.9,1.74,-118.46585317485
75,1.74,-118.344650908799
50,1.75,-150.729810371661
50.1,1.75,-150.583219939433
50.2,1.75,-150.436734416982
50.3,1.75,-150.290353804309
50.4,1.75,-150.144078101413
50.5,1.75,-149.997907308296
50.6,1.75,-149.851841424955
50.7,1.75,-149.705880451393
50.8,1.75,-149.560024387607
50.9,1.75,-149.4142732336
51,1.75,-149.26862698937
51.1,1.75,-149.123085654918
51.2,1.75,-148.977649230243
51.3,1.75,-148.832317715346
51.4,1.75,-148.687091110226
51.5,1.75,-148.541969414884
51.6,1.75,-148.39695262932
51.7,1.75,-148.252040753533
51.8,1.75,-148.107233787523
51.9,1.75,-147.962531731292
52,1.75,-147.817934584838
52.1,1.75,-147.673442348161
52.2,1.75,-147.529055021262
52.3,1.75,-147.384772604141
52.4,1.75,-147.240595096797
52.5,1.75,-147.096522499231
52.6,1.75,-146.952554811443
52.7,1.75,-146.808692033432
52.8,1.75,-146.664934165199
52.9,1.75,-146.521281206743
53,1.75,-146.377733158065
53.1,1.75,-146.234290019164
53.2,1.75,-146.090951790041
53.3,1.75,-145.947718470696
53.4,1.75,-145.804590061128
53.5,1.75,-145.661566561338
53.6,1.75,-145.518647971325
53.7,1.75,-145.37583429109
53.8,1.75,-145.233125520633
53.9,1.75,-145.090521659953
54,1.75,-144.948022709051
54.1,1.75,-144.805628667926
54.2,1.75,-144.663339536579
54.3,1.75,-144.52115531501
54.4,1.75,-144.379076003218
54.5,1.75,-144.237101601204
54.6,1.75,-144.095232108967
54.7,1.75,-143.953467526508
54.8,1.75,-143.811807853826
54.9,1.75,-143.670253090923
55,1.75,-143.528803237796
55.1,1.75,-143.387458294447
55.2,1.75,-143.246218260876
55.3,1.75,-143.105083137083
55.4,1.75,-142.964052923067
55.5,1.75,-142.823127618829
55.6,1.75,-142.682307224368
55.7,1.75,-142.541591739685
55.8,1.75,-142.400981164779
55.9,1.75,-142.260475499651
56,1.75,-142.120074744301
56.1,1.75,-141.979778898728
56.2,1.75,-141.839587962933
56.3,1.75,-141.699501936915
56.4,1.75,-141.559520820675
56.5,1.75,-141.419644614213
56.6,1.75,-141.279873317528
56.7,1.75,-141.14020693062
56.8,1.75,-141.000645453491
56.9,1.75,-140.861188886139
57,1.75,-140.721837228564
57.1,1.75,-140.582590480767
57.2,1.75,-140.443448642748
57.3,1.75,-140.304411714506
57.4,1.75,-140.165479696042
57.5,1.75,-140.026652587356
57.6,1.75,-139.887930388447
57.7,1.75,-139.749313099315
57.8,1.75,-139.610800719962
57.9,1.75,-139.472393250385
58,1.75,-139.334090690587
58.1,1.75,-139.195893040566
58.2,1.75,-139.057800300322
58.3,1.75,-138.919812469857
58.4,1.75,-138.781929549168
58.5,1.75,-138.644151538258
58.6,1.75,-138.506478437125
58.7,1.75,-138.368910245769
58.8,1.75,-138.231446964192
58.9,1.75,-138.094088592391
59,1.75,-137.956835130369
59.1,1.75,-137.819686578124
59.2,1.75,-137.682642935656
59.3,1.75,-137.545704202966
59.4,1.75,-137.408870380054
59.5,1.75,-137.272141466919
59.6,1.75,-137.135517463562
59.7,1.75,-136.998998369983
59.8,1.75,-136.862584186181
59.9,1.75,-136.726274912156
60,1.75,-136.59007054791
60.1,1.75,-136.45397109344
60.2,1.75,-136.317976548749
60.3,1.75,-136.182086913835
60.4,1.75,-136.046302188698
60.5,1.75,-135.91062237334
60.6,1.75,-135.775047467758
60.7,1.75,-135.639577471955
60.8,1.75,-135.504212385929
60.9,1.75,-135.36895220968
61,1.75,-135.23379694321
61.1,1.75,-135.098746586516
61.2,1.75,-134.963801139601
61.3,1.75,-134.828960602463
61.4,1.75,-134.694224975102
61.5,1.75,-134.559594257519
61.6,1.75,-134.425068449714
61.7,1.75,-134.290647551686
61.8,1.75,-134.156331563436
61.9,1.75,-134.022120484964
62,1.75,-133.888014316269
62.1,1.75,-133.754013057351
62.2,1.75,-133.620116708212
62.3,1.75,-133.486325268849
62.4,1.75,-133.352638739265
62.5,1.75,-133.219057119458
62.6,1.75,-133.085580409429
62.7,1.75,-132.952208609177
62.8,1.75,-132.818941718703
62.9,1.75,-132.685779738006
63,1.75,-132.552722667087
63.1,1.75,-132.419770505946
63.2,1.75,-132.286923254582
63.3,1.75,-132.154180912996
63.4,1.75,-132.021543481187
63.5,1.75,-131.889010959156
63.6,1.75,-131.756583346902
63.7,1.75,-131.624260644427
63.8,1.75,-131.492042851728
63.9,1.75,-131.359929968808
64,1.75,-131.227921995664
64.1,1.75,-131.096018932299
64.2,1.75,-130.964220778711
64.3,1.75,-130.832527534901
64.4,1.75,-130.700939200868
64.5,1.75,-130.569455776613
64.6,1.75,-130.438077262135
64.7,1.75,-130.306803657435
64.8,1.75,-130.175634962513
64.9,1.75,-130.044571177368
65,1.75,-129.913612302001
65.1,1.75,-129.782758336411
65.2,1.75,-129.652009280599
65.3,1.75,-129.521365134565
65.4,1.75,-129.390825898308
65.5,1.75,-129.260391571829
65.6,1.75,-129.130062155127
65.7,1.75,-128.999837648203
65.8,1.75,-128.869718051057
65.9,1.75,-128.739703363688
66,1.75,-128.609793586097
66.1,1.75,-128.479988718283
66.2,1.75,-128.350288760247
66.3,1.75,-128.220693711988
66.4,1.75,-128.091203573507
66.5,1.75,-127.961818344804
66.6,1.75,-127.832538025878
66.7,1.75,-127.70336261673
66.8,1.75,-127.57429211736
66.9,1.75,-127.445326527767
67,1.75,-127.316465847951
67.1,1.75,-127.187710077914
67.2,1.75,-127.059059217654
67.3,1.75,-126.930513267171
67.4,1.75,-126.802072226466
67.5,1.75,-126.673736095539
67.6,1.75,-126.545504874389
67.7,1.75,-126.417378563017
67.8,1.75,-126.289357161422
67.9,1.75,-126.161440669605
68,1.75,-126.033629087565
68.1,1.75,-125.905922415304
68.2,1.75,-125.778320652819
68.3,1.75,-125.650823800113
68.4,1.75,-125.523431857184
68.5,1.75,-125.396144824032
68.6,1.75,-125.268962700658
68.7,1.75,-125.141885487062
